Row,Column,Well,Set,Plate,Wavelength,A562,Input,RandN,Fraction
H,2,H2,2,2C,562,0.637,Un,91,C
A,3,A3,2,2C,562,0.861,Un,92,C
B,3,B3,2,2C,562,0.86,Un,93,C
C,3,C3,2,2C,562,0.843,Un,94,C
D,3,D3,2,2C,562,0.608,Un,96,C
E,3,E3,2,2C,562,0.891,Un,98,C
F,3,F3,2,2C,562,0.907,Un,99,C
G,3,G3,2,2C,562,0.977,Un,100,C
H,3,H3,2,2C,562,0.852,Un,101,C
A,4,A4,2,2C,562,1.206,Un,102,C
B,4,B4,2,2C,562,0.871,Un,103,C
C,4,C4,2,2C,562,0.681,Un,104,C
D,4,D4,2,2C,562,0.757,Un,105,C
E,4,E4,2,2C,562,1.159,Un,106,C
F,4,F4,2,2C,562,1.127,Un,107,C
G,4,G4,2,2C,562,0.765,Un,108,C
H,4,H4,2,2C,562,0.796,Un,109,C
A,5,A5,2,2C,562,1.411,Un,110,C
B,5,B5,2,2C,562,0.438,Un,111,C
C,5,C5,2,2C,562,0.693,Un,112,C
D,5,D5,2,2C,562,1.078,Un,113,C
E,5,E5,2,2C,562,0.731,Un,114,C
F,5,F5,2,2C,562,0.686,Un,116,C
G,5,G5,2,2C,562,0.779,Un,117,C
H,5,H5,2,2C,562,0.268,Un,119,C
A,6,A6,2,2C,562,0.771,Un,120,C
B,6,B6,2,2C,562,1.094,Un,121,C
C,6,C6,2,2C,562,0.938,Un,122,C
D,6,D6,2,2C,562,0.902,Un,123,C
E,6,E6,2,2C,562,0.954,Un,124,C
F,6,F6,2,2C,562,0.576,Un,125,C
G,6,G6,2,2C,562,0.747,Un,126,C
H,6,H6,2,2C,562,0.752,Un,127,C
A,7,A7,2,2C,562,0.98,Un,128,C
B,7,B7,2,2C,562,0.719,Un,129,C
C,7,C7,2,2C,562,0.705,Un,130,C
D,7,D7,2,2C,562,0.683,Un,131,C
E,7,E7,2,2C,562,0.441,Un,132,C
F,7,F7,2,2C,562,0.689,Un,133,C
G,7,G7,2,2C,562,0.916,Un,134,C
H,7,H7,2,2C,562,0.667,Un,135,C
A,8,A8,2,2C,562,0.797,Un,136,C
B,8,B8,2,2C,562,0.719,Un,137,C
C,8,C8,2,2C,562,0.737,Un,138,C
D,8,D8,2,2C,562,0.65,Un,139,C
E,8,E8,2,2C,562,0.66,Un,140,C
F,8,F8,2,2C,562,0.686,Un,141,C
G,8,G8,2,2C,562,0.673,Un,142,C
H,8,H8,2,2C,562,0.628,Un,143,C
A,9,A9,2,2C,562,0.564,Un,144,C
B,9,B9,2,2C,562,0.785,Un,145,C
C,9,C9,2,2C,562,0.815,Un,146,C
D,9,D9,2,2C,562,0.731,Un,147,C
E,9,E9,2,2C,562,0.884,Un,148,C
F,9,F9,2,2C,562,0.613,Un,149,C
G,9,G9,2,2C,562,0.769,Un,150,C
H,9,H9,2,2C,562,0.943,Un,151,C
A,10,A10,2,2C,562,0.679,Un,152,C
B,10,B10,2,2C,562,0.866,Un,153,C
C,10,C10,2,2C,562,0.831,Un,154,C
D,10,D10,2,2C,562,0.87,Un,155,C
E,10,E10,2,2C,562,0.701,Un,156,C
F,10,F10,2,2C,562,0.68,Un,157,C
G,10,G10,2,2C,562,0.905,Un,158,C
H,10,H10,2,2C,562,0.778,Un,159,C
A,11,A11,2,2C,562,0.746,Un,160,C
B,11,B11,2,2C,562,0.739,Un,161,C
C,11,C11,2,2C,562,0.64,Un,162,C
D,11,D11,2,2C,562,0.857,Un,163,C
E,11,E11,2,2C,562,0.711,Un,164,C
F,11,F11,2,2C,562,0.852,Un,165,C
G,11,G11,2,2C,562,0.825,Un,166,C
H,11,H11,2,2C,562,0.822,Un,167,C
A,1,A1,3,3A,562,2.183,Standard,St_A,C
B,1,B1,3,3A,562,1.604,Standard,St_B,C
C,1,C1,3,3A,562,1.225,Standard,St_C,C
D,1,D1,3,3A,562,1.032,Standard,St_D,C
E,1,E1,3,3A,562,0.743,Standard,St_E,C
F,1,F1,3,3A,562,0.404,Standard,St_F,C
G,1,G1,3,3A,562,0.251,Standard,St_G,C
H,1,H1,3,3A,562,0.128,Standard,St_H,C
A,2,A2,3,3A,562,0.106,Standard,St_I,C
B,2,B2,3,3A,562,0.734,Un,168,C
C,2,C2,3,3A,562,0.694,Un,169,C
D,2,D2,3,3A,562,0.697,Un,170,C
E,2,E2,3,3A,562,0.723,Un,171,C
F,2,F2,3,3A,562,0.63,Un,172,C
G,2,G2,3,3A,562,0.631,Un,173,C
H,2,H2,3,3A,562,0.674,Un,174,C
A,3,A3,3,3A,562,0.713,Un,175,C
B,3,B3,3,3A,562,0.851,Un,176,C
C,3,C3,3,3A,562,0.989,Un,177,C
D,3,D3,3,3A,562,0.628,Un,178,C
E,3,E3,3,3A,562,0.643,Un,179,C
F,3,F3,3,3A,562,0.732,Un,180,C
G,3,G3,3,3A,562,0.62,Un,181,C
H,3,H3,3,3A,562,0.756,Un,182,C
A,4,A4,3,3A,562,0.839,Un,183,C
B,4,B4,3,3A,562,0.627,Un,184,C
C,4,C4,3,3A,562,0.852,Un,185,C
D,4,D4,3,3A,562,0.594,Un,186,C
E,4,E4,3,3A,562,0.558,Un,187,C
F,4,F4,3,3A,562,0.686,Un,188,C
G,4,G4,3,3A,562,0.799,Un,189,C
H,4,H4,3,3A,562,0.709,Un,190,C
A,5,A5,3,3A,562,0.709,Un,191,C
B,5,B5,3,3A,562,0.837,Un,192,C
C,5,C5,3,3A,562,0.636,Un,193,C
D,5,D5,3,3A,562,0.515,Un,194,C
E,5,E5,3,3A,562,0.643,Un,195,C
F,5,F5,3,3A,562,0.637,Un,196,C
G,5,G5,3,3A,562,0.64,Un,197,C
H,5,H5,3,3A,562,0.78,Un,198,C
A,6,A6,3,3A,562,0.606,Un,199,C
B,6,B6,3,3A,562,0.724,Un,200,C
C,6,C6,3,3A,562,1.077,Un,201,C
D,6,D6,3,3A,562,0.912,Un,202,C
E,6,E6,3,3A,562,1.075,Un,203,C
F,6,F6,3,3A,562,1.234,Un,204,C
G,6,G6,3,3A,562,1.041,Un,205,C
H,6,H6,3,3A,562,1.022,Un,206,C
A,7,A7,3,3A,562,0.895,Un,207,C
B,7,B7,3,3A,562,0.852,Un,208,C
C,7,C7,3,3A,562,0.65,Un,209,C
D,7,D7,3,3A,562,0.854,Un,210,C
E,7,E7,3,3A,562,0.538,Un,211,C
F,7,F7,3,3A,562,0.725,Un,212,C
G,7,G7,3,3A,562,0.846,Un,213,C
H,7,H7,3,3A,562,0.723,Un,214,C
A,8,A8,3,3A,562,0.594,Un,215,C
B,8,B8,3,3A,562,0.756,Un,216,C
C,8,C8,3,3A,562,0.876,Un,217,C
D,8,D8,3,3A,562,0.709,Un,218,C
E,8,E8,3,3A,562,0.643,Un,219,C
F,8,F8,3,3A,562,0.751,Un,220,C
G,8,G8,3,3A,562,0.734,Un,221,C
H,8,H8,3,3A,562,0.69,Un,222,C
A,9,A9,3,3A,562,0.887,Un,223,C
B,9,B9,3,3A,562,0.961,Un,224,C
C,9,C9,3,3A,562,0.802,Un,225,C
D,9,D9,3,3A,562,0.845,Un,226,C
E,9,E9,3,3A,562,0.785,Un,227,C
F,9,F9,3,3A,562,0.686,Un,228,C
G,9,G9,3,3A,562,0.899,Un,229,C
H,9,H9,3,3A,562,0.673,Un,230,C
A,10,A10,3,3A,562,0.775,Un,231,C
B,10,B10,3,3A,562,1.083,Un,232,C
C,10,C10,3,3A,562,1.231,Un,233,C
D,10,D10,3,3A,562,0.962,Un,234,C
E,10,E10,3,3A,562,1.171,Un,235,C
F,10,F10,3,3A,562,0.7,Un,236,C
G,10,G10,3,3A,562,0.829,Un,237,C
H,10,H10,3,3A,562,0.715,Un,238,C
A,11,A11,3,3A,562,0.507,Un,239,C
B,11,B11,3,3A,562,0.835,Un,240,C
A,1,A1,3,3B,562,2.529,Standard,St_A,C
B,1,B1,3,3B,562,1.757,Standard,St_B,C
C,1,C1,3,3B,562,1.517,Standard,St_C,C
D,1,D1,3,3B,562,1.02,Standard,St_D,C
E,1,E1,3,3B,562,0.821,Standard,St_E,C
F,1,F1,3,3B,562,0.443,Standard,St_F,C
G,1,G1,3,3B,562,0.321,Standard,St_G,C
H,1,H1,3,3B,562,0.133,Standard,St_H,C
A,2,A2,3,3B,562,0.119,Standard,St_I,C
B,2,B2,3,3B,562,0.981,Un,168,C
C,2,C2,3,3B,562,0.933,Un,169,C
D,2,D2,3,3B,562,0.925,Un,170,C
E,2,E2,3,3B,562,0.85,Un,171,C
F,2,F2,3,3B,562,0.82,Un,172,C
G,2,G2,3,3B,562,0.881,Un,173,C
H,2,H2,3,3B,562,0.957,Un,174,C
A,3,A3,3,3B,562,0.864,Un,175,C
B,3,B3,3,3B,562,0.899,Un,176,C
C,3,C3,3,3B,562,1.206,Un,177,C
D,3,D3,3,3B,562,0.814,Un,178,C
E,3,E3,3,3B,562,0.809,Un,179,C
F,3,F3,3,3B,562,0.864,Un,180,C
G,3,G3,3,3B,562,0.661,Un,181,C
H,3,H3,3,3B,562,0.929,Un,182,C
A,4,A4,3,3B,562,1.083,Un,183,C
B,4,B4,3,3B,562,0.867,Un,184,C
C,4,C4,3,3B,562,0.962,Un,185,C
D,4,D4,3,3B,562,0.723,Un,186,C
E,4,E4,3,3B,562,0.734,Un,187,C
F,4,F4,3,3B,562,0.903,Un,188,C
G,4,G4,3,3B,562,0.959,Un,189,C
H,4,H4,3,3B,562,0.826,Un,190,C
A,5,A5,3,3B,562,0.893,Un,191,C
B,5,B5,3,3B,562,1.105,Un,192,C
C,5,C5,3,3B,562,0.828,Un,193,C
D,5,D5,3,3B,562,0.619,Un,194,C
E,5,E5,3,3B,562,0.8,Un,195,C
F,5,F5,3,3B,562,0.783,Un,196,C
G,5,G5,3,3B,562,0.773,Un,197,C
H,5,H5,3,3B,562,0.687,Un,198,C
A,6,A6,3,3B,562,0.757,Un,199,C
B,6,B6,3,3B,562,0.869,Un,200,C
C,6,C6,3,3B,562,1.382,Un,201,C
D,6,D6,3,3B,562,1.174,Un,202,C
E,6,E6,3,3B,562,1.263,Un,203,C
F,6,F6,3,3B,562,1.636,Un,204,C
G,6,G6,3,3B,562,1.316,Un,205,C
H,6,H6,3,3B,562,1.252,Un,206,C
A,7,A7,3,3B,562,0.979,Un,207,C
B,7,B7,3,3B,562,0.919,Un,208,C
C,7,C7,3,3B,562,0.726,Un,209,C
D,7,D7,3,3B,562,0.936,Un,210,C
E,7,E7,3,3B,562,0.579,Un,211,C
F,7,F7,3,3B,562,0.825,Un,212,C
G,7,G7,3,3B,562,0.958,Un,213,C
H,7,H7,3,3B,562,0.844,Un,214,C
A,8,A8,3,3B,562,0.636,Un,215,C
B,8,B8,3,3B,562,0.823,Un,216,C
C,8,C8,3,3B,562,0.983,Un,217,C
D,8,D8,3,3B,562,0.789,Un,218,C
E,8,E8,3,3B,562,0.711,Un,219,C
F,8,F8,3,3B,562,0.855,Un,220,C
G,8,G8,3,3B,562,0.828,Un,221,C
H,8,H8,3,3B,562,0.731,Un,222,C
A,9,A9,3,3B,562,1.02,Un,223,C
B,9,B9,3,3B,562,1.037,Un,224,C
C,9,C9,3,3B,562,0.915,Un,225,C
D,9,D9,3,3B,562,0.971,Un,226,C
E,9,E9,3,3B,562,0.832,Un,227,C
F,9,F9,3,3B,562,0.763,Un,228,C
G,9,G9,3,3B,562,1.049,Un,229,C
H,9,H9,3,3B,562,0.739,Un,230,C
A,10,A10,3,3B,562,0.874,Un,231,C
B,10,B10,3,3B,562,1.248,Un,232,C
C,10,C10,3,3B,562,1.299,Un,233,C
D,10,D10,3,3B,562,1.118,Un,234,C
E,10,E10,3,3B,562,1.247,Un,235,C
F,10,F10,3,3B,562,0.859,Un,236,C
G,10,G10,3,3B,562,1.021,Un,237,C
H,10,H10,3,3B,562,0.876,Un,238,C
A,11,A11,3,3B,562,0.546,Un,239,C
B,11,B11,3,3B,562,0.936,Un,240,C
A,1,A1,3,3C,562,2.279,Standard,St_A,C
B,1,B1,3,3C,562,1.692,Standard,St_B,C
C,1,C1,3,3C,562,1.426,Standard,St_C,C
D,1,D1,3,3C,562,1.062,Standard,St_D,C
E,1,E1,3,3C,562,0.781,Standard,St_E,C
F,1,F1,3,3C,562,0.451,Standard,St_F,C
G,1,G1,3,3C,562,0.274,Standard,St_G,C
H,1,H1,3,3C,562,0.129,Standard,St_H,C
A,2,A2,3,3C,562,0.102,Standard,St_I,C
B,2,B2,3,3C,562,0.883,Un,168,C
C,2,C2,3,3C,562,0.779,Un,169,C
D,2,D2,3,3C,562,0.853,Un,170,C
E,2,E2,3,3C,562,0.812,Un,171,C
F,2,F2,3,3C,562,0.715,Un,172,C
G,2,G2,3,3C,562,0.741,Un,173,C
H,2,H2,3,3C,562,0.884,Un,174,C
A,3,A3,3,3C,562,0.792,Un,175,C
B,3,B3,3,3C,562,0.942,Un,176,C
C,3,C3,3,3C,562,1.09,Un,177,C
D,3,D3,3,3C,562,0.733,Un,178,C
E,3,E3,3,3C,562,0.786,Un,179,C
F,3,F3,3,3C,562,0.919,Un,180,C
G,3,G3,3,3C,562,0.683,Un,181,C
H,3,H3,3,3C,562,0.92,Un,182,C
A,4,A4,3,3C,562,0.884,Un,183,C
B,4,B4,3,3C,562,0.749,Un,184,C
C,4,C4,3,3C,562,0.926,Un,185,C
D,4,D4,3,3C,562,0.645,Un,186,C
E,4,E4,3,3C,562,0.691,Un,187,C
F,4,F4,3,3C,562,0.789,Un,188,C
G,4,G4,3,3C,562,0.91,Un,189,C
H,4,H4,3,3C,562,0.737,Un,190,C
A,5,A5,3,3C,562,0.816,Un,191,C
B,5,B5,3,3C,562,0.933,Un,192,C
C,5,C5,3,3C,562,0.706,Un,193,C
D,5,D5,3,3C,562,0.56,Un,194,C
E,5,E5,3,3C,562,0.714,Un,195,C
F,5,F5,3,3C,562,0.654,Un,196,C
G,5,G5,3,3C,562,0.74,Un,197,C
H,5,H5,3,3C,562,0.602,Un,198,C
A,6,A6,3,3C,562,0.708,Un,199,C
B,6,B6,3,3C,562,0.79,Un,200,C
C,6,C6,3,3C,562,1.19,Un,201,C
D,6,D6,3,3C,562,1.073,Un,202,C
E,6,E6,3,3C,562,1.168,Un,203,C
F,6,F6,3,3C,562,1.413,Un,204,C
G,6,G6,3,3C,562,1.229,Un,205,C
H,6,H6,3,3C,562,1.067,Un,206,C
A,7,A7,3,3C,562,0.954,Un,207,C
B,7,B7,3,3C,562,0.933,Un,208,C
C,7,C7,3,3C,562,0.765,Un,209,C
D,7,D7,3,3C,562,0.897,Un,210,C
E,7,E7,3,3C,562,0.585,Un,211,C
F,7,F7,3,3C,562,0.816,Un,212,C
G,7,G7,3,3C,562,0.954,Un,213,C
H,7,H7,3,3C,562,0.788,Un,214,C
A,8,A8,3,3C,562,0.643,Un,215,C
B,8,B8,3,3C,562,0.896,Un,216,C
C,8,C8,3,3C,562,1.006,Un,217,C
D,8,D8,3,3C,562,0.867,Un,218,C
E,8,E8,3,3C,562,0.604,Un,219,C
F,8,F8,3,3C,562,0.909,Un,220,C
G,8,G8,3,3C,562,0.807,Un,221,C
H,8,H8,3,3C,562,0.824,Un,222,C
A,9,A9,3,3C,562,0.986,Un,223,C
B,9,B9,3,3C,562,1.075,Un,224,C
C,9,C9,3,3C,562,0.867,Un,225,C
D,9,D9,3,3C,562,0.917,Un,226,C
E,9,E9,3,3C,562,0.819,Un,227,C
F,9,F9,3,3C,562,0.678,Un,228,C
G,9,G9,3,3C,562,0.99,Un,229,C
H,9,H9,3,3C,562,0.71,Un,230,C
A,10,A10,3,3C,562,0.823,Un,231,C
B,10,B10,3,3C,562,1.074,Un,232,C
C,10,C10,3,3C,562,1.247,Un,233,C
D,10,D10,3,3C,562,1.007,Un,234,C
E,10,E10,3,3C,562,1.244,Un,235,C
F,10,F10,3,3C,562,0.75,Un,236,C
G,10,G10,3,3C,562,0.872,Un,237,C
H,10,H10,3,3C,562,0.771,Un,238,C
A,11,A11,3,3C,562,0.472,Un,239,C
B,11,B11,3,3C,562,0.851,Un,240,C
A,1,A1,1,1A,562,2.225,Standard,St_A,Z
B,1,B1,1,1A,562,1.774,Standard,St_B,Z
C,1,C1,1,1A,562,1.339,Standard,St_C,Z
D,1,D1,1,1A,562,0.99,Standard,St_D,Z
E,1,E1,1,1A,562,0.79,Standard,St_E,Z
F,1,F1,1,1A,562,0.449,Standard,St_F,Z
G,1,G1,1,1A,562,0.247,Standard,St_G,Z
H,1,H1,1,1A,562,0.128,Standard,St_H,Z
A,2,A2,1,1A,562,0.082,Standard,St_I,Z
B,2,B2,1,1A,562,0.751,Un,1,Z
C,2,C2,1,1A,562,0.672,Un,2,Z
D,2,D2,1,1A,562,0.669,Un,3,Z
E,2,E2,1,1A,562,0.805,Un,4,Z
F,2,F2,1,1A,562,0.45,Un,5,Z
G,2,G2,1,1A,562,0.707,Un,6,Z
H,2,H2,1,1A,562,0.7,Un,7,Z
A,3,A3,1,1A,562,0.604,Un,8,Z
B,3,B3,1,1A,562,0.982,Un,9,Z
C,3,C3,1,1A,562,0.855,Un,10,Z
D,3,D3,1,1A,562,0.433,Un,11,Z
E,3,E3,1,1A,562,0.84,Un,12,Z
F,3,F3,1,1A,562,0.713,Un,13,Z
G,3,G3,1,1A,562,0.773,Un,14,Z
H,3,H3,1,1A,562,0.479,Un,15,Z
A,4,A4,1,1A,562,0.835,Un,16,Z
B,4,B4,1,1A,562,0.761,Un,17,Z
C,4,C4,1,1A,562,0.62,Un,18,Z
D,4,D4,1,1A,562,0.752,Un,19,Z
E,4,E4,1,1A,562,0.678,Un,20,Z
F,4,F4,1,1A,562,0.877,Un,21,Z
G,4,G4,1,1A,562,0.912,Un,23,Z
H,4,H4,1,1A,562,0.678,Un,24,Z
A,5,A5,1,1A,562,0.789,Un,25,Z
B,5,B5,1,1A,562,0.478,Un,26,Z
C,5,C5,1,1A,562,0.614,Un,27,Z
D,5,D5,1,1A,562,0.969,Un,28,Z
E,5,E5,1,1A,562,1.025,Un,29,Z
F,5,F5,1,1A,562,0.658,Un,30,Z
H,5,H5,1,1A,562,0.486,Un,32,Z
B,6,B6,1,1A,562,0.825,Un,34,Z
C,6,C6,1,1A,562,0.744,Un,35,Z
D,6,D6,1,1A,562,0.595,Un,36,Z
E,6,E6,1,1A,562,1.11,Un,37,Z
F,6,F6,1,1A,562,0.689,Un,38,Z
G,6,G6,1,1A,562,1.101,Un,39,Z
H,6,H6,1,1A,562,0.753,Un,40,Z
A,7,A7,1,1A,562,0.875,Un,41,Z
B,7,B7,1,1A,562,0.861,Un,42,Z
C,7,C7,1,1A,562,0.391,Un,44,Z
D,7,D7,1,1A,562,0.844,Un,45,Z
E,7,E7,1,1A,562,0.555,Un,46,Z
F,7,F7,1,1A,562,0.597,Un,47,Z
G,7,G7,1,1A,562,0.619,Un,48,Z
H,7,H7,1,1A,562,0.98,Un,49,Z
A,8,A8,1,1A,562,0.614,Un,50,Z
B,8,B8,1,1A,562,0.921,Un,51,Z
C,8,C8,1,1A,562,0.544,Un,52,Z
D,8,D8,1,1A,562,0.585,Un,53,Z
E,8,E8,1,1A,562,0.576,Un,54,Z
F,8,F8,1,1A,562,0.347,Un,56,Z
G,8,G8,1,1A,562,0.601,Un,57,Z
H,8,H8,1,1A,562,0.961,Un,58,Z
A,9,A9,1,1A,562,0.874,Un,59,Z
B,9,B9,1,1A,562,0.998,Un,60,Z
C,9,C9,1,1A,562,0.618,Un,61,Z
D,9,D9,1,1A,562,0.567,Un,62,Z
E,9,E9,1,1A,562,0.74,Un,63,Z
F,9,F9,1,1A,562,0.376,Un,64,Z
G,9,G9,1,1A,562,0.754,Un,65,Z
H,9,H9,1,1A,562,0.714,Un,66,Z
A,10,A10,1,1A,562,0.704,Un,67,Z
B,10,B10,1,1A,562,0.682,Un,68,Z
C,10,C10,1,1A,562,0.786,Un,69,Z
D,10,D10,1,1A,562,0.709,Un,70,Z
E,10,E10,1,1A,562,0.668,Un,71,Z
F,10,F10,1,1A,562,0.794,Un,72,Z
G,10,G10,1,1A,562,0.77,Un,73,Z
H,10,H10,1,1A,562,0.677,Un,74,Z
A,11,A11,1,1A,562,0.598,Un,75,Z
B,11,B11,1,1A,562,0.915,Un,77,Z
C,11,C11,1,1A,562,0.846,Un,78,Z
D,11,D11,1,1A,562,0.589,Un,79,Z
E,11,E11,1,1A,562,0.66,Un,80,Z
F,11,F11,1,1A,562,0.904,Un,82,Z
G,11,G11,1,1A,562,0.672,Un,83,Z
H,11,H11,1,1A,562,0.87,Un,84,Z
A,12,A12,1,1A,562,0.421,Un,31,Z
B,12,B12,1,1A,562,0.349,Un,33,Z
A,1,A1,1,1B,562,2.408,Standard,St_A,Z
B,1,B1,1,1B,562,1.773,Standard,St_B,Z
C,1,C1,1,1B,562,1.314,Standard,St_C,Z
D,1,D1,1,1B,562,1.01,Standard,St_D,Z
E,1,E1,1,1B,562,0.788,Standard,St_E,Z
F,1,F1,1,1B,562,0.443,Standard,St_F,Z
G,1,G1,1,1B,562,0.24,Standard,St_G,Z
H,1,H1,1,1B,562,0.124,Standard,St_H,Z
A,2,A2,1,1B,562,0.08,Standard,St_I,Z
B,2,B2,1,1B,562,0.817,Un,1,Z
C,2,C2,1,1B,562,0.77,Un,2,Z
D,2,D2,1,1B,562,0.714,Un,3,Z
E,2,E2,1,1B,562,0.849,Un,4,Z
F,2,F2,1,1B,562,0.473,Un,5,Z
G,2,G2,1,1B,562,0.787,Un,6,Z
H,2,H2,1,1B,562,0.784,Un,7,Z
A,3,A3,1,1B,562,0.639,Un,8,Z
B,3,B3,1,1B,562,1.111,Un,9,Z
C,3,C3,1,1B,562,0.974,Un,10,Z
D,3,D3,1,1B,562,0.514,Un,11,Z
E,3,E3,1,1B,562,0.96,Un,12,Z
F,3,F3,1,1B,562,0.759,Un,13,Z
G,3,G3,1,1B,562,0.747,Un,14,Z
H,3,H3,1,1B,562,0.512,Un,15,Z
A,4,A4,1,1B,562,0.939,Un,16,Z
B,4,B4,1,1B,562,0.783,Un,17,Z
C,4,C4,1,1B,562,0.616,Un,18,Z
D,4,D4,1,1B,562,0.689,Un,19,Z
E,4,E4,1,1B,562,0.672,Un,20,Z
F,4,F4,1,1B,562,0.87,Un,21,Z
G,4,G4,1,1B,562,1.329,Un,23,Z
H,4,H4,1,1B,562,0.703,Un,24,Z
A,5,A5,1,1B,562,0.792,Un,25,Z
B,5,B5,1,1B,562,0.516,Un,26,Z
C,5,C5,1,1B,562,0.685,Un,27,Z
D,5,D5,1,1B,562,1.075,Un,28,Z
E,5,E5,1,1B,562,1.091,Un,29,Z
F,5,F5,1,1B,562,0.714,Un,30,Z
H,5,H5,1,1B,562,0.512,Un,32,Z
B,6,B6,1,1B,562,0.75,Un,34,Z
C,6,C6,1,1B,562,0.699,Un,35,Z
D,6,D6,1,1B,562,0.579,Un,36,Z
E,6,E6,1,1B,562,1.022,Un,37,Z
F,6,F6,1,1B,562,0.722,Un,38,Z
G,6,G6,1,1B,562,1.025,Un,39,Z
H,6,H6,1,1B,562,0.709,Un,40,Z
A,7,A7,1,1B,562,0.78,Un,41,Z
B,7,B7,1,1B,562,0.894,Un,42,Z
C,7,C7,1,1B,562,0.46,Un,44,Z
